seed,arm,round,n_labeled,n_pool_remaining,test_n,rmse,mae,r2,spearman_r,spearman_p
22,uncertainty,2,359,2227,555,1.1770605848021458,0.9258697869328288,0.504655375248617,0.7178485706082633,5.0731481619321404e-89
22,uncertainty,3,409,2177,555,1.1694397736292916,0.9154021476540359,0.5110487718545174,0.7267883470983473,2.8636818779860014e-92
22,uncertainty,4,459,2127,555,1.1405234875481423,0.8844212113068904,0.5349300411451805,0.7456982248321303,1.3828592305721527e-99
22,uncertainty,5,509,2077,555,1.1234369684556291,0.8614868447384132,0.5487603619320125,0.7653134587647624,6.795316357220601e-108
22,uncertainty,6,559,2027,555,1.1137909525424925,0.8494853186663878,0.5564759320991538,0.7745029506265307,4.508178436302542e-112
22,uncertainty,7,609,1977,555,1.0594209195314241,0.8105955412260626,0.5987205596922633,0.7814433619529803,2.316839160260492e-115
22,uncertainty,8,659,1927,555,1.0335616245526917,0.7923778843870188,0.618071055929363,0.7935565569349448,2.113806782939889e-121
22,uncertainty,9,709,1877,555,1.0347543403898183,0.7836827254984113,0.6171890658696624,0.7936569360327557,1.8764160447951648e-121
22,uncertainty,10,759,1827,555,1.0287537354241,0.7816288261259834,0.6216160812450371,0.79697425462989,3.525286096164011e-123
22,uncertainty,11,809,1777,555,1.028230708899004,0.7781990562233617,0.6220007301871061,0.7959917292090766,1.1528660942868943e-122
22,uncertainty,12,859,1727,555,1.0294878008408033,0.7799948758945741,0.6210758982323514,0.7949602111194135,3.971805756062197e-122
22,uncertainty,13,909,1677,555,1.0223495639556168,0.7710277890271185,0.6263124296160654,0.7976550074204992,1.5452219553226082e-123
22,uncertainty,14,959,1627,555,1.0150066151515984,0.7691138392013966,0.6316611178144805,0.801479240461579,1.415416783500501e-125
22,uncertainty,15,1009,1577,555,1.0098299124695047,0.7654759061453085,0.6354087159109004,0.8000363014608702,8.415848346624988e-125
22,uncertainty,16,1059,1527,555,1.0143282125074031,0.765671832838666,0.6321533285266799,0.7999362803573945,9.517633110392898e-125
22,uncertainty,17,1109,1477,555,1.0096988519718495,0.7629171191605106,0.635503346528905,0.8032792552903678,1.499928155713745e-126
22,uncertainty,18,1159,1427,555,1.0083831359115065,0.7610902470610346,0.6364526625330154,0.8032499137079309,1.5561150498234032e-126
22,uncertainty,19,1209,1377,555,1.0051775980943394,0.7571402138342115,0.6387603418559037,0.8014440726797587,1.4785284303071004e-125
22,uncertainty,20,1259,1327,555,1.0048807980269776,0.7576196316260765,0.6389736377474526,0.8056586610795288,7.444609722587739e-128
33,random,0,259,2327,555,1.1829340271040394,0.9257381232955673,0.49969957790439634,0.7230535427080444,6.75386983211308e-91
33,random,1,309,2277,555,1.1577844041821048,0.8976723667864088,0.5207465910902738,0.7340484794801471,5.276012203014706e-95
33,random,2,359,2227,555,1.1520886680655327,0.8937219197207998,0.525450379705519,0.7389262858788981,6.821600938892687e-97
33,random,3,409,2177,555,1.1378982860678766,0.8818579562189104,0.5370685279907657,0.7453955122917718,1.8322540292121805e-99
33,random,4,459,2127,555,1.1178820126962719,0.8633147724628767,0.5532117360256992,0.7500057648029158,2.4141789621246874e-101
33,random,5,509,2077,555,1.1129155477061292,0.8539335186484817,0.557172850191133,0.7433596330324065,1.2033889028194e-98
33,random,6,559,2027,555,1.1133466569827863,0.8520716038196056,0.556829708488489,0.7419024514044161,4.578564516734916e-98
33,random,7,609,1977,555,1.1043205935166651,0.8482045573059384,0.5639862729315646,0.7474380472998191,2.722801098948867e-100
33,random,8,659,1927,555,1.0935736619991125,0.835863642116911,0.5724313009687811,0.7531585327522744,1.1832288664080977e-102
33,random,9,709,1877,555,1.0812723271748503,0.8266550973435081,0.5819964241626885,0.7588139121814992,4.713781500570513e-105
33,random,10,759,1827,555,1.0719215247074219,0.8166547705182424,0.589194921266059,0.7643575057972524,1.802374039828144e-107
33,random,11,809,1777,555,1.060181553692333,0.8062090634415354,0.5981441383344284,0.767080271276583,1.1063456272813706e-108
33,random,12,859,1727,555,1.0469620311170917,0.7960491668544476,0.6081032298110516,0.7724823123326182,3.8864822532736986e-111
33,random,13,909,1677,555,1.0466774016617992,0.7926317676197591,0.6083162847231266,0.7757238241353643,1.2133904247980028e-112
33,random,14,959,1627,555,1.043735414129885,0.7916519163678648,0.6105150694292328,0.7776396259025022,1.5214304537988476e-113
33,random,15,1009,1577,555,1.0476108056916213,0.7874282008110531,0.6076173832768096,0.7760467570301054,8.563021870628451e-113
